"time","instRate","protocol","percent_change","cell_name","predicted_subclass","Species","blockers","bath","puff","DFP","LIMs_depth","assigned_subclass","expCon","response","keep","Date"
-37.7965,3.45972875726543,"baseline",95.5606946488177,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-37.50662,4.22547114003211,"baseline",116.711160235335,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-37.26924,3.67242012486228,"baseline",101.435413813053,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-36.996,4.45473984319316,"baseline",123.043759717098,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-36.77084,4.01993889692877,"baseline",111.034182269232,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-36.52114,3.94539572319104,"baseline",108.975235466323,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-36.2664,3.5729598399314,"baseline",98.6882348910042,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-35.98574,4.0154192097655,"baseline",110.909344608474,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-35.73582,3.48626411936968,"baseline",96.2936242549654,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-35.44824,3.46452328159645,"baseline",95.6931235493842,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
